manufacturer,model,type,iata_code,icao_code
Aeroprakt,"8KCAB Decathlon, 8GCBC Scout",Airplane,,BL8
Aeroprakt,Aeroprakt A-22 Foxbat / A-22 Valor / A-22 Vision,Airplane,,AP22
Aerospatiale,Aerospatiale (Nord) 262,Airplane,ND2,N262
Aerospatiale,Aerospatiale (Sud Aviation) Se.210 Caravelle,Airplane,CRV,S210
Aerospatiale,Aerospatiale SN.601 Corvette,Airplane,NDC,S601
Aerospatiale,Aerospatiale/Alenia ATR 42-300 / 320,Airplane,AT4,AT43
Aerospatiale,Aerospatiale/Alenia ATR 42-500,Airplane,AT5,AT45
Aerospatiale,Aerospatiale/Alenia ATR 42-600,Airplane,ATR,AT46
Aerospatiale,Aerospatiale/Alenia ATR 72,Airplane,AT7,AT72
Aerospatiale,Aerospatiale/Alenia ATR 72-200 series,Airplane,ATR,AT73
Aerospatiale,Aerospatiale/Alenia ATR 72-500,Airplane,ATR,AT75
Aerospatiale,Aerospatiale/Alenia ATR 72-600,Airplane,ATR,AT76
Airbus,Airbus A220-100,Airplane,221,BCS1
Airbus,Airbus A220-300,Airplane,223,BCS3
Airbus,Airbus A300 (deprecated 1997: code replaced),Airplane,,EA30
Airbus,Airbus A300-600,Airplane,AB6,A306
Airbus,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airplane,ABB,A3ST
Airbus,"Airbus A300B2, A300B4, and A300C4",Airplane,AB4,A30B
Airbus,Airbus A310 (deprecated 1997: code replaced),Airplane,,EA31
Airbus,Airbus A310-200,Airplane,312,A310
Airbus,Airbus A310-300,Airplane,313,A310
Airbus,Airbus A318,Airplane,318,A318
Airbus,Airbus A318 (sharklets),Airplane,32C,A318
Airbus,Airbus A319,Airplane,319,A319
Airbus,Airbus A319 (sharklets),Airplane,32D,A319
Airbus,Airbus A319neo,Airplane,31N,A19N
Airbus,Airbus A320,Airplane,320,A320
Airbus,Airbus A320 (deprecated 1997: code replaced),Airplane,,EA32
Airbus,Airbus A320 (sharklets),Airplane,32A,A320
Airbus,Airbus A320neo,Airplane,32N,A20N
Airbus,Airbus A321,Airplane,321,A321
Airbus,Airbus A321 (sharklets),Airplane,32B,A321
Airbus,Airbus A321neo,Airplane,32Q,A21N
Airbus,Airbus A330 (deprecated 1997: code replaced),Airplane,,EA33
Airbus,Airbus A330-200,Airplane,332,A332
Airbus,Airbus A330-300,Airplane,333,A333
Airbus,"Airbus A330-700 ""Beluga XL""",Airplane,,A337
Airbus,Airbus A330-800neo,Airplane,338,A338
Airbus,Airbus A330-900neo,Airplane,339,A339
Airbus,Airbus A340 (deprecated 1997: code replaced),Airplane,,EA34
Airbus,Airbus A340-200,Airplane,342,A342
Airbus,Airbus A340-300,Airplane,343,A343
Airbus,Airbus A340-500,Airplane,345,A345
Airbus,Airbus A340-600,Airplane,346,A346
Airbus,Airbus A350-1000,Airplane,351,A35K
Airbus,Airbus A350-900,Airplane,359,A359
Airbus,Airbus A380-800,Airplane,388,A388
"Airbus, Aerospatiale, BAE Systems, Sud Aviation, British Aerospace, British Aircraft Corporation",Concorde,Airplane,SSC,CONC
Antonov,Antonov AN-12,Airplane,ANF,AN12
Antonov,Antonov AN-124 Ruslan,Airplane,A4F,A124
Antonov,Antonov AN-140,Airplane,A40,A140
Antonov,Antonov An-148,Airplane,A81,A148
Antonov,Antonov An-158,Airplane,A58,A158
Antonov,Antonov An-225 Mriya,Airplane,A5F,A225
Antonov,Antonov AN-24,Airplane,AN4,AN24
Antonov,Antonov AN-26,Airplane,A26,AN26
Antonov,Antonov AN-28,Airplane,A28,AN28
Antonov,Antonov AN-30,Airplane,A30,AN30
Antonov,Antonov AN-32,Airplane,A32,AN32
Antonov,Antonov AN-72 / AN-74,Airplane,AN7,AN72
Aquila,Aquila A 210,Airplane,,A210
Avions Robin,Robin ATL,Airplane,ATL,ATL
Avions Robin,"Robin HR200/R2000 series, Alpha160A",Airplane,,R200
Avro International Aerospace,Avro RJ100,Airplane,AR1,RJ1H
Avro International Aerospace,Avro RJ70,Airplane,AR7,RJ70
Avro International Aerospace,Avro RJ85,Airplane,AR8,RJ85
Avro International Aerospace,Hawker Siddeley HS 748,Airplane,HS7,A748
Beechcraft,Beechcraft 1900,Airplane,BEH,B190
Beechcraft,Beechcraft Baron / 55 Baron,Airplane,,BE55
Beechcraft,Beechcraft Baron / 58 Baron,Airplane,,BE58
Bell,Bell 212,Helicopter,BH2,B212
Bell,Bell 412,Helicopter,BH2,B412
Bell,Bell 429,Helicopter,BH2,B429
Beriev Aircraft Company,Beriev Be-200 Altair,Airplane,,BER2
Boeing,Boeing 707,Airplane,703,B703
Boeing,Boeing 717,Airplane,717,B712
Boeing,Boeing 720B,Airplane,B72,B720
Boeing,Boeing 727-100,Airplane,721,B721
Boeing,Boeing 727-200,Airplane,722,B722
Boeing,Boeing 737 MAX 10,Airplane,7MJ,B3XM
Boeing,Boeing 737 MAX 7,Airplane,7M7,B37M
Boeing,Boeing 737 MAX 8,Airplane,7M8,B38M
Boeing,Boeing 737 MAX 9,Airplane,7M9,B39M
Boeing,Boeing 737-200,Airplane,732,B732
Boeing,Boeing 737-300,Airplane,733,B733
Boeing,Boeing 737-400,Airplane,734,B734
Boeing,Boeing 737-500,Airplane,735,B735
Boeing,Boeing 737-600,Airplane,736,B736
Boeing,Boeing 737-700,Airplane,73G,B737
Boeing,Boeing 737-800,Airplane,738,B738
Boeing,Boeing 737-900,Airplane,739,B739
Boeing,Boeing 747 LCF Dreamlifter,Airplane,74B,BLCF
Boeing,Boeing 747-100,Airplane,741,B741
Boeing,Boeing 747-100 Freighter,Airplane,74T,B741
Boeing,Boeing 747-200,Airplane,742,B742
Boeing,Boeing 747-200F,Airplane,74X,B742
Boeing,Boeing 747-200M,Airplane,74C,B742
Boeing,Boeing 747-300,Airplane,743,B743
Boeing,Boeing 747-300M,Airplane,74D,B743
Boeing,Boeing 747-400,Airplane,744,B744
Boeing,Boeing 747-400D (deprecated 2018: no longer flying),Airplane,74J,B74D
Boeing,Boeing 747-400F,Airplane,74Y,B744
Boeing,Boeing 747-400M,Airplane,74E,B744
Boeing,Boeing 747-8F,Airplane,74N,B748
Boeing,Boeing 747-8I,Airplane,74H,B748
Boeing,Boeing 747SP,Airplane,74L,B74S
Boeing,Boeing 747SR,Airplane,74R,B74R
Boeing,Boeing 747SR Freighter,Airplane,74V,B74R
Boeing,Boeing 757-200,Airplane,752,B752
Boeing,Boeing 757-300,Airplane,753,B753
Boeing,Boeing 757F,Airplane,75F,B752
Boeing,Boeing 767-200,Airplane,762,B762
Boeing,Boeing 767-300,Airplane,763,B763
Boeing,Boeing 767-400ER,Airplane,764,B764
Boeing,Boeing 777-200 / Boeing 777-200ER,Airplane,772,B772
Boeing,Boeing 777-200 Freighter,Airplane,77X,B77L
Boeing,Boeing 777-200LR,Airplane,77L,B77L
Boeing,Boeing 777-300,Airplane,773,B773
Boeing,Boeing 777-300ER,Airplane,77W,B77W
Boeing,Boeing 777-8,Airplane,778,B778
Boeing,Boeing 777-9,Airplane,779,B779
Boeing,Boeing 787-10,Airplane,781,B78X
Boeing,Boeing 787-8,Airplane,788,B788
Boeing,Boeing 787-9,Airplane,789,B789
Bombardier,Bombardier 415,Airplane,,CL2T
Bombardier,Bombardier BD-100 Challenger 300,Airplane,,CL30
Bombardier,Bombardier BD-700 Global 5000,Airplane,CCX,GL5T
Bombardier,Bombardier Global Express / Raytheon Sentinel,Airplane,CCX,GLEX
Bombardier,Canadair Challenger,Airplane,CCJ,CL60
Bombardier,Canadair Regional Jet 100,Airplane,CR1,CRJ1
Bombardier,Canadair Regional Jet 1000,Airplane,CRK,CRJX
Bombardier,Canadair Regional Jet 200,Airplane,CR2,CRJ2
Bombardier,Canadair Regional Jet 700 | Regional Jet 550,Airplane,CR7,CRJ7
Bombardier,Canadair Regional Jet 900,Airplane,CR9,CRJ9
British Aerospace,BAe 146-100,Airplane,141,B461
British Aerospace,BAe 146-200,Airplane,142,B462
British Aerospace,BAe 146-300,Airplane,143,B463
British Aerospace,British Aerospace ATP,Airplane,ATP,ATP
British Aerospace,British Aerospace Jetstream 31,Airplane,J31,JS31
British Aerospace,British Aerospace Jetstream 32,Airplane,J32,JS32
British Aerospace,British Aerospace Jetstream 41,Airplane,J41,JS41
